sex,alcohol_status,predicted_probability,ci_95_low,ci_95_high
Male,No current alcohol use,0.16803431709337804,0.15787419865292932,0.1787095402438796
Female,No current alcohol use,0.30067697419878336,0.28736032080581625,0.31433853692322283
Male,Current alcohol use,0.27715469505937756,0.2632637006667915,0.29148865021335124
Female,Current alcohol use,0.4494055751003182,0.4332769847234182,0.4656412506073803
