alcohol_status,a_female_yes,b_female_no,c_male_yes,d_male_no,n,stratum_or,mantel_haenszel_common_or
Current alcohol use,1335,1519,735,2106,5695,2.5182249331595705,2.1227561919154843
No current alcohol use,1012,2528,618,2748,6906,1.7800479292122404,2.1227561919154843
