current_alcohol_use_label,sex,n,sad_yes,sad_proportion,sad_percent
Current alcohol use,Female,2854,1335,0.4677645409950946,46.776454099509465
Current alcohol use,Male,2841,735,0.2587117212249208,25.87117212249208
No current alcohol use,Female,3540,1012,0.2858757062146893,28.587570621468927
No current alcohol use,Male,3366,618,0.1836007130124777,18.36007130124777
